"kicker","kick_distance","roof","result","field"
"S.Janikowski",64,"outdoors","missed","stadium"
"S.Janikowski",51,"outdoors","made","stadium"
"S.Janikowski",49,"outdoors","made","stadium"
"S.Janikowski",61,"outdoors","missed","stadium"
"S.Janikowski",20,"outdoors","made","stadium"
"S.Janikowski",47,"outdoors","made","stadium"
"S.Janikowski",37,"outdoors","made","stadium"
"S.Janikowski",58,"closed","missed","dome"
"S.Janikowski",35,"outdoors","missed","stadium"
"S.Janikowski",44,"outdoors","made","stadium"
"S.Janikowski",45,"outdoors","missed","stadium"
"S.Janikowski",22,"outdoors","made","stadium"
"S.Janikowski",48,"outdoors","made","stadium"
"S.Suisham",23,"outdoors","made","stadium"
"S.Suisham",38,"closed","made","dome"
"S.Suisham",39,"closed","made","dome"
"S.Suisham",41,"outdoors","made","stadium"
"S.Suisham",54,"outdoors","missed","stadium"
"S.Suisham",44,"outdoors","made","stadium"
"S.Suisham",53,"outdoors","missed","stadium"
"S.Suisham",37,"outdoors","made","stadium"
"S.Suisham",33,"outdoors","made","stadium"
"S.Suisham",42,"outdoors","made","stadium"
"S.Suisham",48,"outdoors","missed","stadium"
"S.Suisham",49,"outdoors","made","stadium"
"S.Suisham",41,"outdoors","made","stadium"
"S.Suisham",30,"outdoors","made","stadium"
"S.Suisham",33,"outdoors","made","stadium"
"S.Suisham",22,"outdoors","made","stadium"
"S.Suisham",34,"outdoors","made","stadium"
"S.Suisham",27,"outdoors","made","stadium"
"S.Suisham",35,"outdoors","made","stadium"
"S.Suisham",49,"outdoors","made","stadium"
"S.Suisham",23,"outdoors","made","stadium"
"S.Suisham",45,"outdoors","made","stadium"
"S.Suisham",29,"outdoors","made","stadium"
"S.Suisham",42,"outdoors","made","stadium"
"S.Suisham",24,"outdoors","made","stadium"
"S.Suisham",25,"outdoors","made","stadium"
"S.Suisham",44,"outdoors","made","stadium"
"S.Suisham",24,"outdoors","made","stadium"
"W.Lutz",35,"outdoors","made","stadium"
"W.Lutz",35,"dome","made","dome"
"W.Lutz",52,"dome","made","dome"
"W.Lutz",28,"dome","made","dome"
"W.Lutz",34,"dome","made","dome"
"W.Lutz",24,"dome","made","dome"
"W.Lutz",28,"outdoors","made","stadium"
"W.Lutz",43,"outdoors","made","stadium"
"W.Lutz",40,"dome","made","dome"
"W.Lutz",34,"outdoors","made","stadium"
"W.Lutz",45,"closed","made","dome"
"W.Lutz",31,"dome","made","dome"
"W.Lutz",53,"dome","missed","dome"
"W.Lutz",55,"dome","made","dome"
"W.Lutz",26,"dome","made","dome"
"W.Lutz",19,"dome","made","dome"
"W.Lutz",33,"closed","made","dome"
"W.Lutz",44,"outdoors","made","stadium"
"W.Lutz",35,"dome","made","dome"
"W.Lutz",56,"outdoors","missed","stadium"
"W.Lutz",61,"dome","missed","dome"
"W.Lutz",53,"dome","made","dome"
"W.Lutz",30,"outdoors","made","stadium"
"W.Lutz",40,"dome","made","dome"
"W.Lutz",42,"dome","made","dome"
"W.Lutz",23,"outdoors","made","stadium"
"W.Lutz",21,"outdoors","made","stadium"
"W.Lutz",43,"dome","made","dome"
"W.Lutz",37,"outdoors","made","stadium"
"W.Lutz",41,"outdoors","missed","stadium"
"W.Lutz",53,"dome","made","dome"
"W.Lutz",30,"outdoors","made","stadium"
"Y.Koo",48,"closed","missed","dome"
"Y.Koo",48,"outdoors","made","stadium"
"Y.Koo",51,"dome","made","dome"
"Y.Koo",32,"outdoors","made","stadium"
"Y.Koo",36,"outdoors","made","stadium"
"Y.Koo",45,"outdoors","made","stadium"
"Y.Koo",40,"outdoors","made","stadium"
"Y.Koo",35,"closed","made","dome"
"Y.Koo",25,"closed","made","dome"
"Y.Koo",43,"outdoors","missed","stadium"
"Y.Koo",52,"dome","made","dome"
"Y.Koo",46,"closed","made","dome"
"Y.Koo",52,"closed","made","dome"
"Y.Koo",36,"outdoors","made","stadium"
"Y.Koo",43,"outdoors","made","stadium"
"Y.Koo",44,"outdoors","missed","stadium"
"Y.Koo",37,"outdoors","made","stadium"
"Y.Koo",31,"outdoors","made","stadium"
"Y.Koo",29,"closed","made","dome"
"Y.Koo",50,NA,"missed","dome"
"Z.Gonzalez",23,"dome","made","dome"
"Z.Gonzalez",24,"outdoors","made","stadium"
"Z.Gonzalez",48,"outdoors","made","stadium"
"Z.Gonzalez",23,"outdoors","made","stadium"
"Z.Gonzalez",34,"closed","made","dome"
"Z.Gonzalez",31,"outdoors","made","stadium"
"Z.Gonzalez",50,"outdoors","made","stadium"
"Z.Gonzalez",21,"outdoors","made","stadium"
"Z.Gonzalez",45,"closed","made","dome"
"Z.Gonzalez",35,"outdoors","missed","stadium"
"Z.Gonzalez",20,"outdoors","made","stadium"
"Z.Gonzalez",49,"closed","made","dome"
"Z.Gonzalez",43,"outdoors","made","stadium"
"Z.Gonzalez",33,"closed","made","dome"
"Z.Gonzalez",49,"closed","made","dome"
"Z.Gonzalez",42,"closed","made","dome"
"Z.Gonzalez",36,"closed","made","dome"
"Z.Gonzalez",28,"closed","made","dome"
"Z.Gonzalez",54,"closed","missed","dome"
"Z.Gonzalez",31,"dome","made","dome"
"Z.Gonzalez",36,"outdoors","made","stadium"
"Z.Gonzalez",26,"closed","made","dome"
