"drive_id","drive_start","drive_end"
"2016_05_NE_CLE_6","Kickoff","Touchdown"
"2016_06_SF_BUF_17","Kickoff","Field Goal"
"2018_01_CHI_GB_10","Fumble","Punt"
"2019_08_PHI_BUF_17","Fumble","Punt"
"2017_15_HOU_JAX_6","Punt","Touchdown"
"2018_05_MIA_CIN_16","Kickoff","Punt"
"2016_08_SEA_NO_6","Punt","Field Goal"
"2020_13_NYG_SEA_1","Kickoff","Field Goal"
"2016_08_NYJ_CLE_5","Punt","Field Goal"
"2021_09_ARI_SF_2","Punt","Punt"
"2019_01_DET_ARI_10","Kickoff","Punt"
"2016_17_CLE_PIT_22","Kickoff","Touchdown"
"2021_18_CIN_CLE_16","Kickoff","Turnover"
"2019_16_NO_TEN_15","Kickoff","Touchdown"
"2017_02_DET_NYG_5","Kickoff","Turnover"
"2021_03_CIN_PIT_6","Interception","Touchdown"
"2020_08_SF_SEA_17","Kickoff","Touchdown"
"2016_16_NYJ_NE_2","Punt","Field Goal"
"2020_09_LV_LAC_7","Punt","Punt"
"2020_08_NO_CHI_21","Punt","Field Goal"
"2018_03_OAK_MIA_20","Interception","Touchdown"
"2018_13_LAC_PIT_9","Punt","Punt"
"2019_11_ARI_SF_8","Kickoff","Touchdown"
"2017_02_MIA_LAC_15","Punt","Field Goal"
"2020_17_BAL_CIN_1","Kickoff","Field Goal"
"2018_16_CHI_SF_14","Punt","Punt"
"2016_06_CLE_TEN_15","Punt","Touchdown"
"2016_08_KC_IND_25","Kickoff","Turnover"
"2016_15_MIA_NYJ_3","Punt","Turnover"
"2017_05_NYJ_CLE_4","Punt","Turnover"
"2018_01_PIT_CLE_26","Punt","Punt"
"2021_05_MIA_TB_16","Kickoff","Turnover"
"2019_15_PHI_WAS_19","Kickoff","Touchdown"
"2019_07_ARI_NYG_15","Kickoff","Field Goal"
"2019_09_DET_OAK_3","Kickoff","Touchdown"
"2021_16_PIT_KC_19","Kickoff","Touchdown"
"2018_12_PIT_DEN_6","Punt","Field Goal"
"2017_03_KC_LAC_20","Punt","Touchdown"
"2019_11_DAL_DET_16","Kickoff","Field Goal"
"2021_06_CIN_DET_17","Punt","Touchdown"
"2017_04_BUF_ATL_17","Kickoff","Turnover"
"2019_06_SF_LA_11","Fumble","Touchdown"
"2016_10_CLE_BAL_8","Kickoff","Touchdown"
"2020_01_ARI_SF_2","Kickoff","Punt"
