"drive_id","drive_start","drive_end"
"2021_01_PIT_BUF_15","Fumble","Field Goal"
"2020_16_CIN_HOU_5","Fumble","Field Goal"
"2018_10_MIA_GB_8","Fumble","Field Goal"
"2019_05_NYJ_PHI_6","Fumble","Field Goal"
"2020_17_WAS_PHI_22","Fumble","Field Goal"
"2021_09_LAC_PHI_3","Fumble","Punt"
"2016_06_BAL_NYG_19","Fumble","Punt"
"2016_02_GB_MIN_21","Fumble","Punt"
"2019_10_BUF_CLE_4","Fumble","Punt"
"2021_08_NE_LAC_15","Fumble","Punt"
"2021_15_NO_TB_17","Fumble","Punt"
"2021_05_NO_WAS_11","Fumble","Punt"
"2016_17_DAL_PHI_9","Fumble","Punt"
"2019_08_MIA_PIT_22","Fumble","Punt"
"2016_08_JAX_TEN_18","Fumble","Punt"
"2016_02_NO_NYG_5","Fumble","Punt"
"2018_10_ARI_KC_20","Fumble","Punt"
"2017_07_DEN_LAC_24","Fumble","Punt"
"2020_16_TB_DET_20","Fumble","Punt"
"2020_14_HOU_CHI_16","Fumble","Punt"
"2021_08_PIT_CLE_9","Fumble","Punt"
"2018_12_ATL_NO_19","Fumble","Punt"
"2020_02_SF_NYJ_18","Fumble","Punt"
"2018_13_KC_OAK_2","Fumble","Punt"
"2017_01_PHI_WAS_5","Fumble","Punt"
"2020_14_ARI_NYG_3","Fumble","Punt"
"2016_09_DET_MIN_18","Fumble","Punt"
"2018_13_CAR_TB_8","Fumble","Punt"
"2018_06_SF_GB_19","Fumble","Punt"
"2019_02_BUF_NYG_21","Fumble","Punt"
"2018_16_ATL_CAR_22","Fumble","Punt"
"2020_08_PIT_BAL_21","Fumble","Punt"
"2017_11_JAX_CLE_20","Fumble","Punt"
"2021_09_ATL_NO_8","Fumble","Punt"
"2017_11_LA_MIN_8","Fumble","Punt"
"2017_15_NYJ_NO_20","Fumble","Punt"
"2018_07_NO_BAL_2","Fumble","Punt"
"2020_15_PHI_ARI_22","Fumble","Punt"
"2017_02_ARI_IND_6","Fumble","Punt"
"2020_04_BUF_LV_17","Fumble","Punt"
"2016_05_TB_CAR_18","Fumble","Punt"
"2018_11_HOU_WAS_14","Fumble","Punt"
"2017_07_CAR_CHI_12","Fumble","Punt"
"2021_03_SEA_MIN_16","Fumble","Punt"
"2016_06_DAL_GB_9","Fumble","Punt"
"2021_09_HOU_MIA_22","Fumble","Punt"
"2020_16_SF_ARI_16","Fumble","Punt"
"2019_02_SF_CIN_22","Fumble","Punt"
"2018_04_BUF_GB_16","Fumble","Punt"
"2021_01_PIT_BUF_10","Fumble","Punt"
"2017_02_DAL_DEN_23","Fumble","Punt"
"2021_17_DEN_LAC_9","Fumble","Punt"
"2017_11_JAX_CLE_27","Fumble","Punt"
"2020_06_CLE_PIT_22","Fumble","Punt"
"2020_14_TEN_JAX_7","Fumble","Punt"
"2017_08_CAR_TB_8","Fumble","Punt"
"2016_01_LA_SF_11","Fumble","Punt"
"2016_15_SF_ATL_9","Fumble","Punt"
"2021_15_ARI_DET_18","Fumble","Punt"
"2020_07_KC_DEN_8","Fumble","Punt"
"2016_14_DAL_NYG_10","Fumble","Punt"
"2020_09_DEN_ATL_21","Fumble","Punt"
"2017_10_DAL_ATL_17","Fumble","Punt"
"2020_07_JAX_LAC_12","Fumble","Punt"
"2021_06_CIN_DET_8","Fumble","Punt"
"2016_13_DEN_JAX_23","Fumble","Punt"
"2017_17_DAL_PHI_3","Fumble","Punt"
"2018_14_MIN_SEA_16","Fumble","Punt"
"2020_12_SF_LA_8","Fumble","Punt"
"2020_04_NYG_LA_18","Fumble","Punt"
"2020_13_LA_ARI_9","Fumble","Punt"
"2018_10_DAL_PHI_20","Fumble","Punt"
"2018_03_OAK_MIA_4","Fumble","Punt"
"2019_12_SEA_PHI_22","Fumble","Punt"
"2016_15_TB_DAL_19","Fumble","Punt"
"2020_12_BAL_PIT_13","Fumble","Punt"
"2018_02_BAL_CIN_19","Fumble","Punt"
"2016_01_BUF_BAL_4","Fumble","Punt"
"2017_13_CLE_LAC_15","Fumble","Punt"
"2019_11_HOU_BAL_5","Fumble","Punt"
"2021_14_SEA_HOU_20","Fumble","Punt"
"2018_05_MIN_PHI_18","Fumble","Punt"
"2020_01_NYJ_BUF_3","Fumble","Punt"
"2019_17_NO_CAR_24","Fumble","Punt"
"2016_13_KC_ATL_13","Fumble","Punt"
"2018_15_WAS_JAX_2","Fumble","Punt"
"2021_08_WAS_DEN_2","Fumble","Punt"
"2021_11_HOU_TEN_15","Fumble","Punt"
"2019_17_MIA_NE_2","Fumble","Punt"
"2017_14_IND_BUF_18","Fumble","Punt"
"2017_01_BAL_CIN_21","Fumble","Punt"
"2021_18_NYJ_BUF_6","Fumble","Punt"
"2017_03_KC_LAC_15","Fumble","Punt"
"2017_14_IND_BUF_6","Fumble","Punt"
"2020_14_HOU_CHI_4","Fumble","Punt"
"2019_06_PHI_MIN_21","Fumble","Punt"
"2019_14_MIA_NYJ_14","Fumble","Punt"
"2021_16_CHI_SEA_18","Fumble","Punt"
"2017_07_JAX_IND_16","Fumble","Punt"
"2019_04_CAR_HOU_2","Fumble","Punt"
"2020_06_ATL_MIN_8","Fumble","Punt"
"2016_06_CIN_NE_5","Fumble","Punt"
"2016_07_CHI_GB_5","Fumble","Punt"
"2017_16_NYG_ARI_26","Fumble","Punt"
"2021_05_CLE_LAC_7","Fumble","Punt"
"2021_10_MIN_LAC_4","Fumble","Punt"
"2017_11_BAL_GB_13","Fumble","Punt"
"2019_10_LA_PIT_28","Fumble","Punt"
"2019_03_NO_SEA_15","Fumble","Punt"
"2021_18_IND_JAX_3","Fumble","Punt"
"2019_17_OAK_DEN_7","Fumble","Punt"
"2021_07_WAS_GB_12","Fumble","Punt"
"2019_14_SEA_LA_6","Fumble","Punt"
"2016_15_MIA_NYJ_22","Fumble","Punt"
"2017_12_CHI_PHI_5","Fumble","Punt"
"2019_05_JAX_CAR_25","Fumble","Punt"
"2016_15_PHI_BAL_16","Fumble","Punt"
"2017_10_NYJ_TB_22","Fumble","Punt"
"2020_13_NYG_SEA_8","Fumble","Punt"
"2019_09_HOU_JAX_20","Fumble","Punt"
"2020_13_NE_LAC_19","Fumble","Punt"
"2021_11_ARI_SEA_19","Fumble","Punt"
"2018_08_SF_ARI_21","Fumble","Punt"
"2018_17_DET_GB_16","Fumble","Punt"
"2016_12_MIN_DET_8","Fumble","Punt"
"2021_17_HOU_SF_5","Fumble","Punt"
"2019_01_CIN_SEA_16","Fumble","Punt"
"2018_13_SF_SEA_8","Fumble","Punt"
"2019_03_BAL_KC_13","Fumble","Punt"
"2016_12_PIT_IND_13","Fumble","Punt"
"2017_16_OAK_PHI_24","Fumble","Punt"
"2017_12_GB_PIT_17","Fumble","Punt"
"2019_05_IND_KC_8","Fumble","Punt"
"2016_16_IND_OAK_4","Fumble","Punt"
"2019_13_LA_ARI_22","Fumble","Punt"
"2017_13_NE_BUF_18","Fumble","Punt"
"2019_17_NO_CAR_9","Fumble","Punt"
"2017_03_OAK_WAS_25","Fumble","Punt"
"2017_01_KC_NE_22","Fumble","Punt"
"2021_01_SF_DET_21","Fumble","Punt"
"2017_10_NO_BUF_5","Fumble","Punt"
"2016_07_MIN_PHI_20","Fumble","Punt"
"2021_02_BUF_MIA_12","Fumble","Punt"
"2018_16_BAL_LAC_12","Fumble","Touchdown"
"2021_02_TEN_SEA_9","Fumble","Touchdown"
"2016_05_HOU_MIN_18","Fumble","Touchdown"
"2018_16_HOU_PHI_17","Fumble","Touchdown"
"2016_02_GB_MIN_17","Fumble","Touchdown"
"2018_04_BAL_PIT_3","Fumble","Touchdown"
"2017_14_DET_TB_18","Fumble","Touchdown"
"2016_12_SF_MIA_7","Fumble","Touchdown"
"2017_17_BUF_MIA_14","Fumble","Touchdown"
"2016_07_NYG_LA_2","Fumble","Touchdown"
"2018_08_BAL_CAR_6","Fumble","Touchdown"
"2020_08_NO_CHI_18","Fumble","Touchdown"
"2016_12_NE_NYJ_9","Fumble","Touchdown"
"2018_08_NO_MIN_9","Fumble","Touchdown"
"2018_11_GB_SEA_2","Fumble","Touchdown"
"2019_07_MIN_DET_17","Fumble","Touchdown"
"2018_03_PIT_TB_9","Fumble","Touchdown"
"2021_10_CAR_ARI_4","Fumble","Touchdown"
"2019_01_ATL_MIN_8","Fumble","Touchdown"
"2017_16_DEN_WAS_10","Fumble","Touchdown"
"2019_15_TB_DET_22","Fumble","Touchdown"
"2019_10_BAL_CIN_12","Fumble","Touchdown"
"2018_06_SEA_OAK_5","Fumble","Touchdown"
"2017_06_TB_ARI_23","Fumble","Touchdown"
"2020_06_BAL_PHI_8","Fumble","Touchdown"
"2020_13_LV_NYJ_20","Fumble","Touchdown"
"2021_01_CLE_KC_14","Fumble","Touchdown"
"2021_17_ATL_BUF_5","Fumble","Touchdown"
"2020_13_NO_ATL_19","Fumble","Touchdown"
"2016_09_ATL_TB_17","Fumble","Touchdown"
"2018_17_ARI_SEA_6","Fumble","Touchdown"
"2020_15_SF_DAL_5","Fumble","Touchdown"
"2019_03_NYG_TB_9","Fumble","Touchdown"
"2019_07_PHI_DAL_2","Fumble","Touchdown"
"2020_13_NE_LAC_17","Fumble","Touchdown"
"2018_01_TB_NO_18","Fumble","Touchdown"
"2019_17_ARI_LA_4","Fumble","Touchdown"
"2017_11_TB_MIA_13","Fumble","Touchdown"
"2018_14_CAR_CLE_5","Fumble","Touchdown"
"2021_06_DAL_NE_2","Fumble","Touchdown"
"2019_14_LAC_JAX_16","Fumble","Touchdown"
